abiturient_id	add_time	id	name	true	ex	point	eduform_id	fintype_id
202100290	2021-06-25	34	Навигационно-баллистическое обеспечение применения космической техники	0	Математика,Физика,Русский язык	70,54,82	1	2
202100290	2021-06-25	19	Баллистика и гидроаэродинамика	0	Математика,Физика,Русский язык	70,54,82	1	1
202100290	2021-06-25	19	Баллистика и гидроаэродинамика	0	Математика,Физика,Русский язык	70,54,82	1	2
202100290	2021-06-25	22	Управление в технических системах	0	Математика,Физика,Русский язык	70,54,82	1	1
202100290	2021-06-25	22	Управление в технических системах	0	Математика,Физика,Русский язык	70,54,82	1	2
202100290	2021-06-25	37	Специальные организационно-технические системы	0	Математика,Физика,Русский язык	70,54,82	1	1
202100290	2021-06-25	37	Специальные организационно-технические системы	0	Математика,Физика,Русский язык	70,54,82	1	2
202100432	2021-06-25	1	Информатика и вычислительная техника	0	Математика,Информатика и ИКТ,Русский язык	50,79,89	1	1
202100432	2021-06-25	3	Программная инженерия	0	Математика,Информатика и ИКТ,Русский язык	50,79,89	1	1
202100432	2021-06-25	2	Информационные системы и технологии	0	Математика,Информатика и ИКТ,Русский язык	50,79,89	1	1
202100432	2021-06-25	1	Информатика и вычислительная техника	0	Математика,Информатика и ИКТ,Русский язык	50,79,89	1	2
202100432	2021-06-25	3	Программная инженерия	0	Математика,Информатика и ИКТ,Русский язык	50,79,89	1	2
202100432	2021-06-25	2	Информационные системы и технологии	0	Математика,Информатика и ИКТ,Русский язык	50,79,89	1	2
202100718	2021-06-25	9	Теплоэнергетика и теплотехника	0	Математика,Физика,Русский язык	62,66,69	1	1
202100718	2021-06-25	9	Теплоэнергетика и теплотехника	0	Математика,Физика,Русский язык	62,66,69	1	2
202100718	2021-06-25	22	Управление в технических системах	0	Математика,Физика,Русский язык	62,66,69	1	1
202100718	2021-06-25	22	Управление в технических системах	0	Математика,Физика,Русский язык	62,66,69	1	2
202100718	2021-06-25	5	Приборостроение	1	Математика,Физика,Русский язык	62,66,69	1	1
202100718	2021-06-25	5	Приборостроение	0	Математика,Физика,Русский язык	62,66,69	1	2
202100718	2021-06-25	10	Энергетическое машиностроение	0	Математика,Физика,Русский язык	62,66,69	1	1
202100718	2021-06-25	10	Энергетическое машиностроение	0	Математика,Физика,Русский язык	62,66,69	1	2
202100718	2021-06-25	18	Ракетные комплексы и космонавтика	0	Математика,Физика,Русский язык	62,66,69	1	1
202100718	2021-06-25	18	Ракетные комплексы и космонавтика	0	Математика,Физика,Русский язык	62,66,69	1	2
202100426	2021-06-25	5	Приборостроение	0	Математика,Физика,Русский язык	78,55,70	1	1
202100426	2021-06-25	9	Теплоэнергетика и теплотехника	0	Математика,Физика,Русский язык	78,55,70	1	1
202100426	2021-06-25	21	Стандартизация и метрология	0	Математика,Физика,Русский язык	78,55,70	1	1
202100671	2021-06-25	11	Машиностроение	0	Математика,Физика,Русский язык	80,83,94	1	1
202100671	2021-06-25	15	Конструкторско-технологическое обеспечение машиностроительных производств	0	Математика,Физика,Русский язык	80,83,94	1	1
202100671	2021-06-25	13	Прикладная механика	0	Математика,Физика,Русский язык	80,83,94	1	1
202100671	2021-06-25	16	Мехатроника и робототехника	0	Математика,Физика,Русский язык	80,83,94	1	1
202100723	2021-06-25	21	Стандартизация и метрология	0	Математика,Физика,Русский язык	70,49,72	1	1
202100723	2021-06-25	6	Оптотехника	0	Математика,Физика,Русский язык	70,49,72	1	1
202100723	2021-06-25	11	Машиностроение	0	Математика,Физика,Русский язык	70,49,72	1	1
202100723	2021-06-25	19	Баллистика и гидроаэродинамика	0	Математика,Физика,Русский язык	70,49,72	1	1
202100723	2021-06-25	15	Конструкторско-технологическое обеспечение машиностроительных производств	0	Математика,Физика,Русский язык	70,49,72	1	1
202100731	2021-06-25	13	Прикладная механика	0	Математика,Физика,Русский язык	68,66,86	1	1
202100731	2021-06-25	18	Ракетные комплексы и космонавтика	0	Математика,Физика,Русский язык	68,66,86	1	1
202100731	2021-06-25	8	Лазерная техника и лазерные технологии	0	Математика,Физика,Русский язык	68,66,86	1	1
202100747	2021-06-25	34	Навигационно-баллистическое обеспечение применения космической техники	0	Математика,Физика,Русский язык	84,57,80	1	1
202100747	2021-06-25	37	Специальные организационно-технические системы	0	Математика,Физика,Русский язык	84,57,80	1	1
202100710	2021-06-25	20	Двигатели летательных аппаратов	1	Математика,Физика,Русский язык	68,52,72	1	1
202100710	2021-06-25	32	Проектирование, производство и эксплуатация ракет и ракетно-космических комплексов	0	Математика,Физика,Русский язык	68,52,72	1	1
202100710	2021-06-25	10	Энергетическое машиностроение	0	Математика,Физика,Русский язык	68,52,72	1	1
202100710	2021-06-25	30	Боеприпасы и взрыватели	0	Математика,Физика,Русский язык	68,52,72	1	1
202100710	2021-06-25	31	Стрелково-пушечное, артиллерийское и ракетное оружие	0	Математика,Физика,Русский язык	68,52,72	1	1
202100739	2021-06-25	10	Энергетическое машиностроение	0	Математика,Физика,Русский язык	62,61,76	1	1
202100739	2021-06-25	16	Мехатроника и робототехника	0	Математика,Физика,Русский язык	62,61,76	1	1
202100739	2021-06-25	5	Приборостроение	0	Математика,Физика,Русский язык	62,61,76	1	1
202100166	2021-06-25	30	Боеприпасы и взрыватели	0	Математика,Физика,Русский язык	56,47,61	1	1
202100589	2021-06-26	33	Проектирование авиационных и ракетных двигателей	0	Математика,Физика,Русский язык	45,49,64	1	2
202100589	2021-06-26	9	Теплоэнергетика и теплотехника	0	Математика,Физика,Русский язык	45,49,64	1	2
202100589	2021-06-26	12	Технологические машины и оборудование	0	Математика,Физика,Русский язык	45,49,64	1	2
202100589	2021-06-26	34	Навигационно-баллистическое обеспечение применения космической техники	0	Математика,Физика,Русский язык	45,49,64	1	2
202100589	2021-06-26	11	Машиностроение	0	Математика,Физика,Русский язык	45,49,64	1	2
202100508	2021-06-26	36	Системы управления летательными аппаратами	0	Математика,Информатика и ИКТ,Русский язык	62,83,86	1	1
202100508	2021-06-26	35	Интегрированные системы летательных аппаратов	1	Математика,Информатика и ИКТ,Русский язык	62,83,86	1	1
202100508	2021-06-26	3	Программная инженерия	0	Математика,Информатика и ИКТ,Русский язык	62,83,86	1	1
202100508	2021-06-26	2	Информационные системы и технологии	0	Математика,Информатика и ИКТ,Русский язык	62,83,86	1	1
202100508	2021-06-26	1	Информатика и вычислительная техника	0	Математика,Информатика и ИКТ,Русский язык	62,83,86	1	1
202100254	2021-06-26	39	Перевод и переводоведение	1	Иностранный язык,Обществознание,Русский язык	87,78,82	1	2
202100772	2021-06-26	10	Энергетическое машиностроение	0	Математика,Физика,Русский язык	82,81,92	1	1
202100772	2021-06-26	9	Теплоэнергетика и теплотехника	0	Математика,Физика,Русский язык	82,81,92	1	1
202100772	2021-06-26	15	Конструкторско-технологическое обеспечение машиностроительных производств	0	Математика,Физика,Русский язык	82,81,92	1	1
202100772	2021-06-26	9	Теплоэнергетика и теплотехника	0	Математика,Физика,Русский язык	82,81,92	1	2
202100772	2021-06-26	10	Энергетическое машиностроение	0	Математика,Физика,Русский язык	82,81,92	1	2
202100690	2021-06-26	32	Проектирование, производство и эксплуатация ракет и ракетно-космических комплексов	0	Математика,Физика,Русский язык	70,53,71	1	1
202100690	2021-06-26	32	Проектирование, производство и эксплуатация ракет и ракетно-космических комплексов	1	Математика,Физика,Русский язык	70,53,71	1	2
202100690	2021-06-26	37	Специальные организационно-технические системы	0	Математика,Физика,Русский язык	70,53,71	1	1
202100690	2021-06-26	37	Специальные организационно-технические системы	0	Математика,Физика,Русский язык	70,53,71	1	2
202100690	2021-06-26	33	Проектирование авиационных и ракетных двигателей	0	Математика,Физика,Русский язык	70,53,71	1	1
202100690	2021-06-26	33	Проектирование авиационных и ракетных двигателей	0	Математика,Физика,Русский язык	70,53,71	1	2
202100690	2021-06-26	18	Ракетные комплексы и космонавтика	0	Математика,Физика,Русский язык	70,53,71	1	1
202100690	2021-06-26	18	Ракетные комплексы и космонавтика	0	Математика,Физика,Русский язык	70,53,71	1	2
202100690	2021-06-26	8	Лазерная техника и лазерные технологии	0	Математика,Физика,Русский язык	70,53,71	1	1
202100690	2021-06-26	8	Лазерная техника и лазерные технологии	0	Математика,Физика,Русский язык	70,53,71	1	2
202100203	2021-06-26	19	Баллистика и гидроаэродинамика	0	Математика,Физика,Русский язык	78,81,72	1	1
202100203	2021-06-26	20	Двигатели летательных аппаратов	0	Математика,Физика,Русский язык	78,81,72	1	1
202100203	2021-06-26	32	Проектирование, производство и эксплуатация ракет и ракетно-космических комплексов	0	Математика,Физика,Русский язык	78,81,72	1	1
202100203	2021-06-26	33	Проектирование авиационных и ракетных двигателей	0	Математика,Физика,Русский язык	78,81,72	1	1
202100203	2021-06-26	18	Ракетные комплексы и космонавтика	1	Математика,Физика,Русский язык	78,81,72	1	1
202100244	2021-06-26	31	Стрелково-пушечное, артиллерийское и ракетное оружие	0	Математика,Физика,Русский язык	80,64,72	1	1
202100244	2021-06-26	32	Проектирование, производство и эксплуатация ракет и ракетно-космических комплексов	1	Математика,Физика,Русский язык	80,64,72	1	1
202100790	2021-06-26	9	Теплоэнергетика и теплотехника	0	Математика,Физика,Русский язык	0,0,0	1	1
202100793	2021-06-26	6	Оптотехника	0	Математика,Физика,Русский язык	45,53,49	1	1
202100793	2021-06-26	6	Оптотехника	0	Математика,Физика,Русский язык	45,53,49	1	2
202100793	2021-06-26	12	Технологические машины и оборудование	0	Математика,Физика,Русский язык	45,53,49	1	1
202100793	2021-06-26	12	Технологические машины и оборудование	0	Математика,Физика,Русский язык	45,53,49	1	2
202100793	2021-06-26	31	Стрелково-пушечное, артиллерийское и ракетное оружие	0	Математика,Физика,Русский язык	45,53,49	1	1
202100793	2021-06-26	30	Боеприпасы и взрыватели	0	Математика,Физика,Русский язык	45,53,49	1	1
202100786	2021-06-26	1	Информатика и вычислительная техника	0	Математика,Информатика и ИКТ,Русский язык	65,52,9	1	1
202100314	2021-06-26	2	Информационные системы и технологии	0	Математика,Информатика и ИКТ,Русский язык	70,50,84	1	1
202100314	2021-06-26	3	Программная инженерия	0	Математика,Информатика и ИКТ,Русский язык	70,50,84	1	1
202100314	2021-06-26	8	Лазерная техника и лазерные технологии	1	Математика,Физика,Русский язык	70,62,84	1	1
202100529	2021-06-26	19	Баллистика и гидроаэродинамика	0	Математика,Физика,Русский язык	62,54,73	1	1
202100529	2021-06-26	19	Баллистика и гидроаэродинамика	0	Математика,Физика,Русский язык	62,54,73	1	2
202100529	2021-06-26	6	Оптотехника	0	Математика,Физика,Русский язык	62,54,73	1	1
202100529	2021-06-26	6	Оптотехника	0	Математика,Физика,Русский язык	62,54,73	1	2
202100529	2021-06-26	12	Технологические машины и оборудование	0	Математика,Физика,Русский язык	62,54,73	1	1
202100529	2021-06-26	12	Технологические машины и оборудование	0	Математика,Физика,Русский язык	62,54,73	1	2
202100492	2021-06-26	19	Баллистика и гидроаэродинамика	0	Математика,Физика,Русский язык	72,49,54	1	1
202100492	2021-06-26	19	Баллистика и гидроаэродинамика	0	Математика,Физика,Русский язык	72,49,54	1	2
202100492	2021-06-26	34	Навигационно-баллистическое обеспечение применения космической техники	0	Математика,Физика,Русский язык	72,49,54	1	1
202100492	2021-06-26	34	Навигационно-баллистическое обеспечение применения космической техники	0	Математика,Физика,Русский язык	72,49,54	1	2
202100492	2021-06-26	18	Ракетные комплексы и космонавтика	0	Математика,Физика,Русский язык	72,49,54	1	2
202100492	2021-06-26	9	Теплоэнергетика и теплотехника	0	Математика,Физика,Русский язык	72,49,54	1	2
202100492	2021-06-26	20	Двигатели летательных аппаратов	0	Математика,Физика,Русский язык	72,49,54	1	2
202100492	2021-06-26	20	Двигатели летательных аппаратов	0	Математика,Физика,Русский язык	72,49,54	1	1
202100611	2021-06-26	37	Специальные организационно-технические системы	0	Математика,Физика,Русский язык	50,55,72	1	1
202100611	2021-06-26	30	Боеприпасы и взрыватели	0	Математика,Физика,Русский язык	50,55,72	1	1
202100611	2021-06-26	19	Баллистика и гидроаэродинамика	0	Математика,Физика,Русский язык	50,55,72	1	1
202100063	2021-06-26	4	Радиотехника	0	Математика,Информатика и ИКТ,Русский язык	72,80,69	1	1
202100063	2021-06-26	3	Программная инженерия	0	Математика,Информатика и ИКТ,Русский язык	72,80,69	1	1
202100063	2021-06-26	5	Приборостроение	0	Математика,Физика,Русский язык	72,61,69	1	1
202100063	2021-06-26	2	Информационные системы и технологии	0	Математика,Информатика и ИКТ,Русский язык	72,80,69	1	1
202100311	2021-06-26	3	Программная инженерия	0	Математика,Информатика и ИКТ,Русский язык	50,85,90	1	1
202100311	2021-06-26	1	Информатика и вычислительная техника	0	Математика,Информатика и ИКТ,Русский язык	50,85,90	1	1
202100311	2021-06-26	3	Программная инженерия	0	Математика,Информатика и ИКТ,Русский язык	50,85,90	1	2
202100311	2021-06-26	1	Информатика и вычислительная техника	0	Математика,Информатика и ИКТ,Русский язык	50,85,90	1	2
202100694	2021-06-27	8	Лазерная техника и лазерные технологии	0	Математика,Физика,Русский язык	82,62,88	1	1
202100694	2021-06-27	16	Мехатроника и робототехника	0	Математика,Физика,Русский язык	82,62,88	1	1
202100694	2021-06-27	18	Ракетные комплексы и космонавтика	0	Математика,Физика,Русский язык	82,62,88	1	1
202100694	2021-06-27	32	Проектирование, производство и эксплуатация ракет и ракетно-космических комплексов	0	Математика,Физика,Русский язык	82,62,88	1	1
202100527	2021-06-27	31	Стрелково-пушечное, артиллерийское и ракетное оружие	0	Математика,Физика,Русский язык	45,45,66	1	2
202100563	2021-06-27	20	Двигатели летательных аппаратов	0	Математика,Физика,Русский язык	68,45,65	1	1
202100563	2021-06-27	16	Мехатроника и робототехника	0	Математика,Физика,Русский язык	68,45,65	1	1
202100563	2021-06-27	11	Машиностроение	0	Математика,Физика,Русский язык	68,45,65	1	1
202100563	2021-06-27	19	Баллистика и гидроаэродинамика	0	Математика,Физика,Русский язык	68,45,65	1	1
202100305	2021-06-27	32	Проектирование, производство и эксплуатация ракет и ракетно-космических комплексов	1	Математика,Физика,Русский язык	94,91,98	1	1
202100778	2021-06-27	18	Ракетные комплексы и космонавтика	0	Математика,Физика,Русский язык	39,74,84	1	1
202100778	2021-06-27	20	Двигатели летательных аппаратов	0	Математика,Физика,Русский язык	39,74,84	1	1
202100778	2021-06-27	32	Проектирование, производство и эксплуатация ракет и ракетно-космических комплексов	0	Математика,Физика,Русский язык	39,74,84	1	1
202100778	2021-06-27	33	Проектирование авиационных и ракетных двигателей	0	Математика,Физика,Русский язык	39,74,84	1	1
202100778	2021-06-27	18	Ракетные комплексы и космонавтика	0	Математика,Физика,Русский язык	39,74,84	1	2
202100778	2021-06-27	20	Двигатели летательных аппаратов	0	Математика,Физика,Русский язык	39,74,84	1	2
202100778	2021-06-27	32	Проектирование, производство и эксплуатация ракет и ракетно-космических комплексов	0	Математика,Физика,Русский язык	39,74,84	1	2
202100778	2021-06-27	33	Проектирование авиационных и ракетных двигателей	0	Математика,Физика,Русский язык	39,74,84	1	2
202100527	2021-06-27	31	Стрелково-пушечное, артиллерийское и ракетное оружие	0	Математика,Физика,Русский язык	45,45,66	1	1
202100063	2021-06-27	1	Информатика и вычислительная техника	0	Математика,Информатика и ИКТ,Русский язык	72,80,69	1	1
202100755	2021-06-27	18	Ракетные комплексы и космонавтика	0	Математика,Физика,Русский язык	74,49,64	1	1
202100755	2021-06-27	20	Двигатели летательных аппаратов	0	Математика,Физика,Русский язык	74,49,64	1	1
202100755	2021-06-27	9	Теплоэнергетика и теплотехника	0	Математика,Физика,Русский язык	74,49,64	1	1
202100755	2021-06-27	10	Энергетическое машиностроение	0	Математика,Физика,Русский язык	74,49,64	1	1
202100755	2021-06-27	11	Машиностроение	0	Математика,Физика,Русский язык	74,49,64	1	1
202100651	2021-06-27	11	Машиностроение	0	Математика,Физика,Русский язык	56,68,73	1	1
202100651	2021-06-27	18	Ракетные комплексы и космонавтика	0	Математика,Физика,Русский язык	56,68,73	1	1
202100651	2021-06-27	33	Проектирование авиационных и ракетных двигателей	0	Математика,Физика,Русский язык	56,68,73	1	1
202100651	2021-06-27	15	Конструкторско-технологическое обеспечение машиностроительных производств	0	Математика,Физика,Русский язык	56,68,73	1	1
202100651	2021-06-27	20	Двигатели летательных аппаратов	0	Математика,Физика,Русский язык	56,68,73	1	1
202100709	2021-06-27	27	Радиоэлектронные системы и комплексы	0	Математика,Физика,Русский язык	72,44,67	1	1
202100784	2021-06-27	32	Проектирование, производство и эксплуатация ракет и ракетно-космических комплексов	1	Математика,Физика,Русский язык	76,68,86	1	1
202100784	2021-06-27	34	Навигационно-баллистическое обеспечение применения космической техники	0	Математика,Физика,Русский язык	76,68,86	1	1
202100784	2021-06-27	27	Радиоэлектронные системы и комплексы	0	Математика,Физика,Русский язык	76,68,86	1	1
202100784	2021-06-27	16	Мехатроника и робототехника	0	Математика,Физика,Русский язык	76,68,86	1	1
202100784	2021-06-27	8	Лазерная техника и лазерные технологии	0	Математика,Физика,Русский язык	76,68,86	1	1
202100831	2021-06-27	16	Мехатроника и робототехника	0	Математика,Физика,Русский язык	84,89,98	1	1
202100082	2021-06-27	34	Навигационно-баллистическое обеспечение применения космической техники	0	Математика,Физика,Русский язык	72,62,70	1	1
202100082	2021-06-27	33	Проектирование авиационных и ракетных двигателей	0	Математика,Физика,Русский язык	72,62,70	1	1
202100082	2021-06-27	32	Проектирование, производство и эксплуатация ракет и ракетно-космических комплексов	0	Математика,Физика,Русский язык	72,62,70	1	1
202100833	2021-06-27	27	Радиоэлектронные системы и комплексы	0	Математика,Физика,Русский язык	62,47,69	1	1
202100833	2021-06-27	9	Теплоэнергетика и теплотехника	0	Математика,Физика,Русский язык	62,47,69	1	1
202100833	2021-06-27	30	Боеприпасы и взрыватели	0	Математика,Физика,Русский язык	62,47,69	1	1
202100833	2021-06-27	20	Двигатели летательных аппаратов	0	Математика,Физика,Русский язык	62,47,69	1	1
202100833	2021-06-27	12	Технологические машины и оборудование	0	Математика,Физика,Русский язык	62,47,69	1	1
202100811	2021-06-27	6	Оптотехника	0	Математика,Физика,Русский язык	62,78,88	1	1
202100811	2021-06-27	8	Лазерная техника и лазерные технологии	0	Математика,Физика,Русский язык	62,78,88	1	1
202100811	2021-06-27	10	Энергетическое машиностроение	0	Математика,Физика,Русский язык	62,78,88	1	1
202100389	2021-06-27	18	Ракетные комплексы и космонавтика	0	Математика,Физика,Русский язык	72,74,92	1	1
202100389	2021-06-27	31	Стрелково-пушечное, артиллерийское и ракетное оружие	0	Математика,Физика,Русский язык	72,74,92	1	1
202100389	2021-06-27	32	Проектирование, производство и эксплуатация ракет и ракетно-космических комплексов	0	Математика,Физика,Русский язык	72,74,92	1	1
202100389	2021-06-27	20	Двигатели летательных аппаратов	0	Математика,Физика,Русский язык	72,74,92	1	1
202100389	2021-06-27	33	Проектирование авиационных и ракетных двигателей	0	Математика,Физика,Русский язык	72,74,92	1	1
202100874	2021-06-27	27	Радиоэлектронные системы и комплексы	0	Математика,Физика,Русский язык	50,66,78	1	1
202100874	2021-06-27	6	Оптотехника	0	Математика,Физика,Русский язык	50,66,78	1	1
